"Date","Price","Open","High","Low","Vol.","Change %"
"08/14/2023","91.60","91.59","91.60","91.59","6.58M","0.01%"
"08/11/2023","91.59","91.58","91.59","91.58","3.67M","0.01%"
"08/10/2023","91.58","91.56","91.58","91.56","5.09M","0.05%"
"08/09/2023","91.53","91.53","91.54","91.53","4.28M","0.01%"
"08/08/2023","91.52","91.52","91.52","91.51","6.52M","0.02%"
"08/07/2023","91.50","91.51","91.51","91.50","5.98M","0.00%"
"08/04/2023","91.50","91.49","91.50","91.49","6.20M","0.02%"
"08/03/2023","91.48","91.48","91.48","91.47","5.73M","0.04%"
"08/02/2023","91.44","91.44","91.44","91.43","8.06M","0.01%"
"08/01/2023","91.43","91.43","91.43","91.42","13.29M","-0.40%"
"07/31/2023","91.80","91.80","91.81","91.80","6.71M","0.01%"
"07/28/2023","91.79","91.79","91.80","91.79","3.71M","0.01%"
"07/27/2023","91.78","91.77","91.78","91.77","4.69M","0.05%"
"07/26/2023","91.73","91.74","91.74","91.73","4.68M","0.01%"
"07/25/2023","91.72","91.73","91.73","91.72","4.15M","0.01%"
"07/24/2023","91.71","91.71","91.72","91.71","3.74M","0.01%"
"07/21/2023","91.70","91.70","91.71","91.70","4.09M","0.00%"
"07/20/2023","91.70","91.69","91.70","91.68","5.05M","0.05%"
"07/19/2023","91.65","91.65","91.66","91.65","5.13M","0.02%"
"07/18/2023","91.63","91.64","91.64","91.63","4.76M","0.00%"
"07/17/2023","91.63","91.63","91.63","91.62","3.92M","0.01%"
"07/14/2023","91.62","91.61","91.62","91.61","6.51M","0.01%"
"07/13/2023","91.61","91.60","91.61","91.60","5.89M","0.04%"
"07/12/2023","91.57","91.56","91.57","91.56","7.18M","0.02%"
"07/11/2023","91.55","91.55","91.56","91.55","5.57M","0.01%"
"07/10/2023","91.54","91.53","91.54","91.53","4.17M","0.02%"
"07/07/2023","91.52","91.52","91.53","91.52","6.49M","0.01%"
"07/06/2023","91.51","91.51","91.52","91.51","7.53M","0.03%"
"07/05/2023","91.48","91.48","91.49","91.47","7.98M","0.01%"
"07/03/2023","91.47","91.46","91.47","91.46","7.16M","-0.38%"
"06/30/2023","91.82","91.82","91.83","91.82","8.05M","0.03%"
"06/29/2023","91.79","91.80","91.81","91.79","5.73M","0.03%"
"06/28/2023","91.76","91.77","91.77","91.76","4.41M","0.01%"
"06/27/2023","91.75","91.75","91.76","91.75","5.46M","0.02%"
"06/26/2023","91.73","91.74","91.75","91.73","7.22M","0.01%"
"06/23/2023","91.72","91.72","91.73","91.72","3.85M","0.01%"
"06/22/2023","91.71","91.71","91.72","91.71","4.69M","0.04%"
"06/21/2023","91.67","91.68","91.69","91.67","4.94M","0.00%"
"06/20/2023","91.67","91.66","91.67","91.66","6.15M","0.02%"
"06/16/2023","91.65","91.66","91.66","91.65","4.77M","0.01%"
"06/15/2023","91.64","91.64","91.65","91.64","9.82M","0.04%"
"06/14/2023","91.60","91.59","91.60","91.58","5.76M","0.02%"
"06/13/2023","91.58","91.57","91.58","91.57","6.77M","0.02%"
"06/12/2023","91.56","91.56","91.57","91.56","3.74M","0.01%"
"06/09/2023","91.55","91.54","91.55","91.54","6.46M","0.01%"
"06/08/2023","91.54","91.53","91.54","91.53","8.78M","0.05%"
"06/07/2023","91.49","91.49","91.51","91.49","6.48M","0.01%"
"06/06/2023","91.48","91.48","91.49","91.47","6.06M","0.02%"
"06/05/2023","91.46","91.47","91.47","91.45","9.57M","0.00%"
"06/02/2023","91.46","91.46","91.46","91.44","10.26M","0.01%"
"06/01/2023","91.45","91.45","91.45","91.44","10.58M","-0.35%"
"05/31/2023","91.77","91.77","91.78","91.77","9.79M","0.02%"
"05/30/2023","91.75","91.76","91.77","91.75","11.50M","0.01%"
