"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2019","187.47","191.51","194.98","179.20","817.52M","-1.90%"
"07/01/2019","191.10","190.30","195.55","188.38","494.38M","2.33%"
"06/01/2019","186.74","173.52","189.77","169.27","688.73M","7.35%"
"05/01/2019","173.95","190.76","191.32","173.87","901.55M","-8.23%"
"04/01/2019","189.54","181.42","191.32","180.77","550.16M","5.50%"
"03/01/2019","179.66","174.41","182.83","169.34","781.97M","3.74%"
"02/01/2019","173.19","167.37","174.66","166.57","535.96M","2.99%"
"01/01/2019","168.16","150.99","168.99","149.49","933.65M","9.01%"
"12/01/2018","154.26","173.10","173.31","143.46","1.40B","-8.92%"
"11/01/2018","169.37","170.08","175.58","157.13","1.15B","-0.26%"
"10/01/2018","169.82","186.82","187.53","160.09","1.82B","-8.60%"
"09/01/2018","185.79","186.10","186.49","180.44","645.53M","-0.46%"
"08/01/2018","186.65","176.87","187.52","175.79","667.52M","5.78%"
"07/01/2018","176.45","170.04","182.93","169.67","709.03M","2.80%"
"06/01/2018","171.65","170.88","177.98","169.17","784.34M","0.93%"
"05/01/2018","170.07","160.52","171.20","159.22","687.99M","5.67%"
"04/01/2018","160.94","159.00","167.00","153.88","987.69M","0.51%"
"03/01/2018","160.13","167.29","175.21","156.04","1.09B","-4.23%"
"02/01/2018","167.21","168.12","170.73","150.13","1.18B","-1.29%"
"01/01/2018","169.40","156.50","170.95","156.17","698.39M","8.76%"
"12/01/2017","155.76","154.19","158.77","152.06","622.38M","0.39%"
"11/01/2017","155.15","152.75","156.69","150.77","584.20M","1.97%"
"10/01/2017","152.15","145.67","152.37","144.93","549.09M","4.61%"
"09/01/2017","145.45","146.36","146.59","142.10","632.25M","-0.51%"
"08/01/2017","146.20","143.70","146.21","140.18","810.77M","2.07%"
"07/01/2017","143.23","138.25","145.96","135.80","705.00M","4.06%"
"06/01/2017","137.64","141.57","143.90","136.25","1.05B","-2.58%"
"05/01/2017","141.29","136.46","141.84","135.87","534.92M","3.90%"
"04/01/2017","135.99","132.48","136.34","130.38","388.25M","2.73%"
"03/01/2017","132.38","130.81","132.74","129.40","442.96M","1.82%"
"02/01/2017","130.02","125.42","130.70","124.86","307.44M","4.38%"
"01/01/2017","124.57","119.31","125.92","118.89","366.25M","5.14%"
"12/01/2016","118.48","117.46","121.52","115.22","498.41M","0.83%"
"11/01/2016","117.50","117.19","119.51","113.45","598.12M","0.44%"
"10/01/2016","116.99","118.53","119.66","115.94","406.94M","-1.46%"
"09/01/2016","118.72","116.48","119.22","113.63","541.70M","1.96%"
"08/01/2016","116.44","115.31","118.78","114.22","369.27M","1.05%"
