"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2017","45.91","44.25","46.14","43.30","215.39M","3.21%"
"11/01/2017","44.48","44.92","45.84","43.76","235.62M","-0.34%"
"10/01/2017","44.63","43.53","45.33","43.53","209.28M","2.43%"
"09/01/2017","43.57","44.50","45.27","42.91","196.70M","-1.65%"
"08/01/2017","44.30","43.20","44.41","42.22","201.34M","3.00%"
"07/01/2017","43.01","41.01","43.13","40.43","211.89M","5.34%"
"06/01/2017","40.83","40.84","41.28","40.29","220.74M","0.22%"
"05/01/2017","40.74","40.48","41.36","39.62","263.80M","0.99%"
"04/01/2017","40.34","39.93","40.53","39.26","214.10M","1.56%"
"03/01/2017","39.72","39.03","40.63","38.12","319.75M","2.66%"
"02/01/2017","38.69","38.09","39.78","37.84","191.02M","2.25%"
"01/01/2017","37.84","36.18","38.15","36.03","255.17M","5.76%"
"12/01/2016","35.78","36.12","36.88","34.71","300.38M","-1.21%"
"11/01/2016","36.22","37.89","38.19","34.78","423.51M","-4.05%"
"10/01/2016","37.75","37.70","38.38","36.75","272.80M","0.32%"
"09/01/2016","37.63","37.34","38.87","36.13","359.30M","0.80%"
"08/01/2016","37.33","37.08","38.67","36.41","335.15M","0.78%"
"07/01/2016","37.04","35.37","37.10","34.25","270.50M","5.14%"
"06/01/2016","35.23","33.69","35.52","32.78","443.25M","4.23%"
"05/01/2016","33.80","34.92","34.92","32.25","329.03M","-3.24%"
"04/01/2016","34.93","34.01","35.83","33.20","295.33M","1.01%"
"03/01/2016","34.58","31.36","34.93","31.33","359.55M","12.53%"
"02/01/2016","30.73","30.31","31.46","28.90","424.64M","-0.32%"
"01/01/2016","30.83","31.84","31.97","27.98","501.79M","-5.75%"
"12/01/2015","32.71","34.19","34.30","31.51","508.05M","-3.91%"
"11/01/2015","34.04","35.13","36.30","33.59","328.52M","-2.30%"
"10/01/2015","34.84","33.34","36.53","32.93","384.20M","5.29%"
"09/01/2015","33.09","33.59","36.00","31.89","509.33M","-4.20%"
"08/01/2015","34.54","37.91","38.27","30.90","508.32M","-9.86%"
"07/01/2015","38.32","41.07","41.29","37.42","295.63M","-6.26%"
"06/01/2015","40.88","42.50","42.64","40.32","261.88M","-3.45%"
"05/01/2015","42.34","44.06","44.43","42.33","189.90M","-3.55%"
"04/01/2015","43.90","41.29","45.08","41.20","233.90M","7.41%"
"03/01/2015","40.87","41.73","41.75","38.99","259.22M","-2.22%"
"02/01/2015","41.80","40.40","42.04","40.08","218.25M","4.66%"
"01/01/2015","39.94","39.95","42.04","38.55","274.52M","-0.20%"
"12/01/2014","40.02","41.71","41.72","37.30","365.35M","-5.10%"
"11/01/2014","42.17","42.50","43.13","41.53","181.16M","-1.10%"
"10/01/2014","42.64","41.57","42.72","40.00","330.22M","2.23%"
"09/01/2014","41.71","45.43","46.49","41.43","255.88M","-8.13%"
"08/01/2014","45.40","43.85","45.85","43.17","195.05M","3.84%"
"07/01/2014","43.72","43.36","45.17","43.36","219.49M","1.37%"
"06/01/2014","43.13","42.40","43.89","42.32","217.96M","2.18%"
"05/01/2014","42.21","40.85","43.02","40.69","250.52M","3.10%"
"04/01/2014","40.94","40.97","41.93","40.12","330.43M","0.89%"
"03/01/2014","40.58","38.19","40.80","37.56","378.00M","4.35%"
"02/01/2014","38.89","37.50","39.37","36.65","389.97M","3.24%"
"01/01/2014","37.67","40.51","40.53","37.19","479.88M","-8.43%"
"12/01/2013","41.14","41.38","41.58","39.80","418.96M","-0.82%"
"11/01/2013","41.48","41.92","42.47","39.75","342.91M","-0.92%"
"10/01/2013","41.87","40.40","43.16","40.39","380.25M","4.31%"
"09/01/2013","40.13","38.21","43.01","37.81","431.38M","6.40%"
"08/01/2013","37.72","39.50","40.29","36.95","381.02M","-3.43%"
"07/01/2013","39.06","39.00","40.53","37.34","464.32M","0.68%"
"06/01/2013","38.79","41.72","42.26","36.01","612.82M","-6.61%"
"05/01/2013","41.54","43.70","44.81","41.52","330.80M","-5.08%"
"04/01/2013","43.76","42.88","43.88","41.23","374.20M","2.02%"
"03/01/2013","42.90","43.38","44.47","42.05","339.77M","-1.40%"
"02/01/2013","43.51","44.81","44.97","42.98","367.54M","-2.37%"
"01/01/2013","44.56","45.13","45.54","44.10","400.85M","0.07%"
"12/01/2012","44.53","42.33","44.61","42.01","395.20M","5.99%"
"11/01/2012","42.01","41.82","42.43","40.19","399.76M","1.25%"
"10/01/2012","41.49","42.08","42.70","41.12","339.17M","-0.54%"
"09/01/2012","41.72","40.15","43.69","39.53","404.43M","4.02%"
"08/01/2012","40.11","40.44","41.71","39.34","409.58M","0.24%"
"07/01/2012","40.01","39.86","40.71","37.99","440.90M","0.20%"
"06/01/2012","39.93","37.26","40.26","36.94","491.73M","5.02%"
"05/01/2012","38.02","42.62","43.22","37.13","534.48M","-10.66%"
"04/01/2012","42.56","43.37","44.16","41.51","439.11M","-2.10%"
"03/01/2012","43.47","44.81","45.21","42.34","413.56M","-2.60%"
"02/01/2012","44.63","42.99","45.27","42.93","469.37M","5.43%"
