"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2019","39.87","36.64","40.03","36.60","385.50M","7.47%"
"12/01/2018","37.10","40.36","40.39","35.74","750.76M","-6.67%"
"11/01/2018","39.75","39.89","40.89","38.69","314.98M","0.51%"
"10/01/2018","39.55","43.45","43.52","38.38","356.42M","-8.60%"
"09/01/2018","43.27","42.59","43.99","41.77","146.15M","0.35%"
"08/01/2018","43.12","43.85","43.94","41.57","177.44M","-1.73%"
"07/01/2018","43.88","42.24","44.05","42.21","164.15M","2.28%"
"06/01/2018","42.90","44.51","45.22","42.31","192.68M","-2.88%"
"05/01/2018","44.17","44.86","45.74","43.61","154.35M","-1.43%"
"04/01/2018","44.81","44.07","45.49","43.31","180.17M","1.27%"
"03/01/2018","44.25","44.35","45.35","43.29","213.98M","-0.76%"
"02/01/2018","44.59","46.92","47.16","42.53","288.35M","-5.11%"
"01/01/2018","46.99","45.04","47.89","44.99","205.52M","4.75%"
"12/01/2017","44.86","44.42","45.06","43.98","155.55M","0.67%"
"11/01/2017","44.56","44.40","44.79","43.41","173.17M","0.86%"
"10/01/2017","44.18","43.28","44.22","43.19","132.90M","1.77%"
"09/01/2017","43.41","42.72","43.58","42.16","138.17M","2.09%"
"08/01/2017","42.52","42.82","42.86","41.73","153.62M","0.02%"
"07/01/2017","42.51","41.29","42.62","40.88","133.98M","2.88%"
"06/01/2017","41.32","41.69","42.25","40.96","190.16M","-0.53%"
"05/01/2017","41.54","40.25","41.72","40.25","182.32M","3.41%"
"04/01/2017","40.17","39.24","40.33","38.78","158.89M","2.21%"
"03/01/2017","39.30","38.52","39.64","38.16","199.05M","2.66%"
"02/01/2017","38.28","38.10","38.79","37.82","133.11M","1.06%"
"01/01/2017","37.88","36.72","38.26","36.65","179.91M","3.67%"
"12/01/2016","36.54","35.97","37.46","35.79","201.80M","1.61%"
"11/01/2016","35.96","36.67","36.67","35.52","157.91M","-1.51%"
"10/01/2016","36.51","37.35","37.53","36.07","143.38M","-2.41%"
"09/01/2016","37.41","37.18","38.18","36.26","147.80M","1.16%"
"08/01/2016","36.98","36.77","37.70","36.10","140.75M","0.41%"
"07/01/2016","36.83","35.39","36.91","34.17","138.76M","4.16%"
"06/01/2016","35.36","36.46","37.63","33.01","246.62M","-3.39%"
"05/01/2016","36.60","37.01","37.06","35.55","184.03M","-0.30%"
"04/01/2016","36.71","35.15","37.70","34.67","128.15M","2.31%"
"03/01/2016","35.88","34.09","36.40","34.03","167.52M","6.72%"
"02/01/2016","33.62","34.40","34.75","31.95","219.91M","-3.08%"
"01/01/2016","34.69","36.11","36.17","32.22","267.42M","-5.53%"
"12/01/2015","36.72","38.04","38.17","35.92","257.18M","-2.73%"
