"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2020","91.54","91.45","91.55","91.44","45.78M","0.00%"
"01/01/2020","91.54","91.45","91.55","91.44","30.00M","0.12%"
"12/01/2019","91.43","91.44","91.52","91.40","26.36M","-0.14%"
"11/01/2019","91.56","91.46","91.56","91.46","31.60M","-0.04%"
"10/01/2019","91.60","91.46","91.60","91.45","33.03M","0.01%"
"09/01/2019","91.59","91.46","91.59","91.45","40.20M","-0.02%"
"08/01/2019","91.61","91.47","91.62","91.46","68.79M","0.00%"
"07/01/2019","91.61","91.45","91.61","91.44","37.52M","0.00%"
"06/01/2019","91.61","91.44","91.62","91.44","51.57M","-0.01%"
"05/01/2019","91.62","91.43","91.62","91.42","29.91M","0.02%"
"04/01/2019","91.60","91.43","91.60","91.43","28.29M","0.00%"
"03/01/2019","91.60","91.45","91.61","91.44","31.86M","-0.01%"
"02/01/2019","91.61","91.46","91.61","91.45","34.78M","-0.01%"
"01/01/2019","91.62","91.47","91.64","91.45","56.66M","0.17%"
"12/01/2018","91.46","91.45","91.54","91.37","45.33M","-0.16%"
"11/01/2018","91.61","91.46","91.62","91.45","47.46M","0.02%"
"10/01/2018","91.59","91.44","91.59","91.43","49.19M","0.01%"
"09/01/2018","91.58","91.45","91.58","91.45","14.42M","-0.01%"
"08/01/2018","91.59","91.44","91.60","91.44","13.65M","0.01%"
"07/01/2018","91.58","91.45","91.58","91.44","14.84M","0.00%"
"06/01/2018","91.58","91.45","91.58","91.44","15.06M","0.01%"
"05/01/2018","91.57","91.43","91.58","91.43","25.81M","0.03%"
"04/01/2018","91.54","91.44","91.55","91.42","29.11M","-0.01%"
"03/01/2018","91.55","91.42","91.55","91.42","16.60M","0.04%"
"02/01/2018","91.51","91.41","91.51","91.41","27.32M","-0.01%"
"01/01/2018","91.52","91.41","91.52","91.41","8.35M","0.13%"
"12/01/2017","91.40","91.43","91.47","91.37","8.10M","-0.09%"
"11/01/2017","91.48","91.44","91.50","91.42","5.83M","-0.02%"
"10/01/2017","91.50","91.44","91.50","91.42","6.38M","0.00%"
"09/01/2017","91.50","91.44","91.50","91.40","5.18M","0.00%"
"08/01/2017","91.50","91.40","91.50","91.40","7.34M","0.04%"
"07/01/2017","91.46","91.42","91.50","91.42","4.76M","-0.02%"
"06/01/2017","91.48","91.40","91.50","91.40","5.97M","0.04%"
"05/01/2017","91.44","91.44","91.48","91.40","7.44M","-0.02%"
"04/01/2017","91.46","91.38","91.46","91.38","8.88M","0.04%"
"03/01/2017","91.42","91.40","91.46","91.40","8.12M","-0.04%"
"02/01/2017","91.46","91.40","91.46","91.40","5.80M","0.02%"
"01/01/2017","91.44","91.44","91.46","91.42","8.17M","0.04%"
"12/01/2016","91.40","91.40","91.44","91.40","8.50M","-0.04%"
"11/01/2016","91.44","91.48","91.48","91.40","13.64M","-0.04%"
"10/01/2016","91.48","91.46","91.48","91.44","5.81M","0.02%"
"09/01/2016","91.46","91.44","91.48","91.42","10.56M","0.02%"
"08/01/2016","91.44","91.42","91.46","91.42","6.76M","0.00%"
"07/01/2016","91.44","91.42","91.44","91.40","9.43M","0.04%"
"06/01/2016","91.40","91.40","91.44","91.40","16.68M","-0.02%"
"05/01/2016","91.42","91.42","91.42","91.38","11.48M","0.00%"
"04/01/2016","91.42","91.38","91.42","91.38","13.29M","0.04%"
"03/01/2016","91.38","91.36","91.40","91.36","19.73M","0.00%"
