"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2017","114.08","113.40","114.15","112.79","21.21M","0.35%"
"11/01/2017","113.68","113.64","114.38","113.47","21.16M","-0.11%"
"10/01/2017","113.80","113.64","114.15","112.94","22.49M","0.19%"
"09/01/2017","113.58","114.35","115.26","113.56","17.97M","-0.91%"
"08/01/2017","114.62","113.24","114.63","113.24","19.37M","0.84%"
"07/01/2017","113.66","113.21","113.98","112.39","20.99M","0.20%"
"06/01/2017","113.43","114.12","114.94","113.32","21.25M","-1.09%"
"05/01/2017","114.68","114.55","114.78","113.14","26.66M","-0.29%"
"04/01/2017","115.01","114.55","115.46","114.35","25.93M","0.31%"
"03/01/2017","114.65","113.90","114.78","112.61","35.18M","0.00%"
"02/01/2017","114.65","113.95","115.05","113.52","29.45M","0.41%"
"01/01/2017","114.18","112.96","114.62","112.94","46.91M","0.89%"
"12/01/2016","113.17","112.85","113.67","110.90","42.25M","-0.26%"
"11/01/2016","113.46","115.60","116.05","112.83","51.74M","-2.07%"
"10/01/2016","115.86","116.63","116.63","115.23","26.39M","-0.54%"
"09/01/2016","116.49","115.38","116.70","114.37","22.20M","0.39%"
"08/01/2016","116.04","116.12","116.76","115.11","22.25M","-0.74%"
"07/01/2016","116.90","117.00","117.55","115.66","21.21M","0.20%"
"06/01/2016","116.67","114.26","116.86","113.92","27.35M","2.22%"
"05/01/2016","114.14","114.66","115.42","113.36","28.20M","-0.64%"
"04/01/2016","114.88","114.79","115.14","113.59","24.96M","0.21%"
"03/01/2016","114.64","112.87","114.74","111.66","27.43M","1.67%"
"02/01/2016","112.76","111.26","112.83","110.80","18.09M","1.22%"
"01/01/2016","111.40","110.22","111.55","109.77","15.99M","1.57%"
"12/01/2015","109.68","110.82","111.33","108.98","18.14M","-1.01%"
"11/01/2015","110.80","110.71","111.00","109.51","12.78M","-0.14%"
"10/01/2015","110.96","111.10","111.96","110.48","11.39M","0.24%"
"09/01/2015","110.69","111.18","111.29","109.79","11.79M","-0.80%"
"08/01/2015","111.58","112.59","112.84","110.77","18.15M","-0.95%"
"07/01/2015","112.65","111.71","113.29","111.42","12.94M","0.54%"
"06/01/2015","112.05","113.06","113.11","110.75","10.92M","-1.02%"
"05/01/2015","113.21","114.15","114.23","111.90","10.95M","-1.01%"
"04/01/2015","114.36","114.08","115.59","113.77","21.74M","0.68%"
"03/01/2015","113.59","114.05","114.61","111.50","13.49M","-0.48%"
"02/01/2015","114.14","115.49","115.76","111.94","12.05M","-1.29%"
"01/01/2015","115.63","112.22","115.71","112.22","13.17M","3.23%"
"12/01/2014","112.01","113.37","113.46","111.19","14.79M","-1.10%"
"11/01/2014","113.26","113.00","113.63","112.33","11.84M","0.16%"
"10/01/2014","113.08","112.47","116.25","112.28","14.62M","0.90%"
"09/01/2014","112.07","114.62","114.73","111.67","17.30M","-2.76%"
"08/01/2014","115.25","114.78","116.14","114.41","9.70M","0.30%"
"07/01/2014","114.91","114.76","115.74","113.80","10.29M","-0.39%"
"06/01/2014","115.36","114.78","115.55","113.45","11.17M","-0.20%"
"05/01/2014","115.59","113.42","116.34","113.40","10.46M","1.77%"
"04/01/2014","113.58","111.91","113.85","111.40","17.51M","1.32%"
"03/01/2014","112.10","112.94","113.25","111.32","17.28M","-0.53%"
"02/01/2014","112.70","112.25","112.88","111.37","10.41M","0.44%"
"01/01/2014","112.21","109.99","112.27","109.95","16.83M","2.10%"
"12/01/2013","109.90","111.40","111.42","109.68","15.44M","-1.53%"
"11/01/2013","111.61","112.53","112.64","110.87","11.58M","-1.16%"
"10/01/2013","112.92","112.51","113.54","111.61","12.60M","0.30%"
"09/01/2013","112.58","110.18","112.58","108.63","14.39M","1.66%"
"08/01/2013","110.74","112.35","113.66","109.41","16.48M","-1.89%"
"07/01/2013","112.87","111.37","113.55","110.61","20.52M","0.77%"
"06/01/2013","112.01","115.91","116.75","108.81","40.62M","-4.04%"
"05/01/2013","116.73","121.91","121.91","116.01","26.88M","-4.44%"
"04/01/2013","122.15","121.02","122.81","120.90","23.40M","0.73%"
"03/01/2013","121.27","120.94","121.52","119.89","24.72M","0.21%"
"02/01/2013","121.01","121.05","121.15","119.89","25.81M","0.19%"
"01/01/2013","120.78","121.17","121.60","120.12","24.98M","-0.52%"
"12/01/2012","121.41","122.38","123.44","121.21","26.45M","-1.22%"
"11/01/2012","122.91","122.02","123.24","121.77","19.21M","0.32%"
"10/01/2012","122.52","121.87","123.14","121.00","19.71M","0.62%"
"09/01/2012","121.76","121.00","122.35","120.28","21.53M","0.51%"
"08/01/2012","121.14","121.37","121.97","118.43","19.09M","-0.25%"
"07/01/2012","121.44","119.43","121.63","119.40","15.42M","1.45%"
"06/01/2012","119.70","120.64","121.41","119.20","27.67M","-1.33%"
"05/01/2012","121.31","119.24","121.43","118.86","18.73M","1.58%"
"04/01/2012","119.42","117.80","119.77","116.95","19.99M","1.50%"
"03/01/2012","117.65","118.33","118.82","116.87","23.29M","-0.86%"
"02/01/2012","118.67","119.18","119.44","117.69","23.33M","-0.58%"
"01/01/2012","119.36","116.44","119.38","116.40","19.18M","2.29%"
"12/01/2011","116.69","116.52","117.75","115.91","17.06M","-0.04%"
"11/01/2011","116.74","116.90","118.32","115.91","18.37M","0.21%"
"10/01/2011","116.49","114.63","116.55","113.41","18.92M","1.92%"
"09/01/2011","114.30","114.59","117.07","114.19","24.95M","-0.02%"
"08/01/2011","114.32","113.64","118.59","113.44","36.79M","0.13%"
"07/01/2011","114.17","110.17","114.36","109.65","20.21M","3.19%"
"06/01/2011","110.64","110.18","111.62","109.95","18.35M","-0.20%"
"05/01/2011","110.86","110.68","111.39","109.87","17.24M","-0.27%"
"04/01/2011","111.16","108.52","111.31","108.31","15.18M","1.83%"
"03/01/2011","109.16","107.79","110.50","107.70","19.55M","0.93%"
"02/01/2011","108.15","107.18","108.45","104.90","16.16M","0.57%"
"01/01/2011","107.54","106.97","108.34","106.70","15.41M","0.02%"
"12/01/2010","107.52","108.91","109.08","105.48","19.92M","-1.79%"
"11/01/2010","109.48","111.80","112.48","108.18","17.56M","-1.92%"
"10/01/2010","111.62","108.80","112.50","108.68","16.13M","2.35%"
"09/01/2010","109.06","107.76","109.96","107.13","16.08M","0.76%"
"08/01/2010","108.24","106.10","108.31","106.06","17.07M","1.76%"
"07/01/2010","106.37","106.37","106.61","105.23","11.66M","-0.51%"
"06/01/2010","106.91","105.77","107.01","105.07","16.67M","0.76%"
"05/01/2010","106.10","105.78","107.66","105.10","24.26M","0.04%"
"04/01/2010","106.06","103.30","106.15","102.29","21.55M","2.08%"
"03/01/2010","103.90","103.99","104.83","103.07","23.84M","-0.01%"
"02/01/2010","103.91","105.16","105.47","103.41","23.51M","-1.50%"
"01/01/2010","105.49","103.99","105.50","103.78","24.65M","1.53%"
"12/01/2009","103.90","106.39","106.44","103.33","24.79M","-2.51%"
"11/01/2009","106.57","103.84","106.58","103.45","20.44M","2.46%"
"10/01/2009","104.01","103.06","104.79","102.52","26.65M","1.10%"
"09/01/2009","102.88","100.78","102.95","100.50","27.27M","1.10%"
"08/01/2009","101.76","100.46","102.47","99.62","25.08M","0.41%"
"07/01/2009","101.34","100.99","101.50","99.86","19.88M","-0.30%"
"06/01/2009","101.64","100.95","101.75","99.31","27.79M","-0.17%"
"05/01/2009","101.81","99.48","102.09","98.64","25.20M","1.36%"
"04/01/2009","100.44","102.82","102.85","100.00","21.77M","-2.25%"
"03/01/2009","102.75","97.31","103.65","96.22","23.20M","5.91%"
"02/01/2009","97.02","99.48","101.03","97.02","23.78M","-2.20%"
"01/01/2009","99.20","99.44","100.87","96.66","17.27M","-0.04%"
"12/01/2008","99.24","93.74","102.20","93.38","14.87M","6.50%"
"11/01/2008","93.18","92.81","96.09","90.65","13.74M","0.88%"
"10/01/2008","92.37","101.50","102.60","84.14","20.86M","-8.82%"
"09/01/2008","101.30","105.14","106.59","101.23","14.79M","-4.76%"
"08/01/2008","106.36","105.40","107.01","104.26","9.55M","-0.10%"
"07/01/2008","106.47","107.85","109.17","105.16","11.82M","-1.28%"
"06/01/2008","107.85","106.03","108.20","104.67","9.97M","1.00%"
"05/01/2008","106.78","107.11","109.06","105.86","10.48M","-0.31%"
"04/01/2008","107.11","108.92","109.62","106.25","10.64M","-2.54%"
"03/01/2008","109.90","110.19","112.11","108.19","14.49M","-0.61%"
"02/01/2008","110.57","109.41","110.58","106.69","11.72M","0.90%"
"01/01/2008","109.58","106.02","110.57","105.70","8.81M","3.57%"
"12/01/2007","105.80","106.70","106.97","103.99","5.42M","-0.84%"
"11/01/2007","106.70","102.85","109.10","102.85","6.91M","3.79%"
"10/01/2007","102.80","101.61","103.80","100.77","3.84M","0.75%"
"09/01/2007","102.03","100.92","102.75","100.56","3.34M","0.84%"
"08/01/2007","101.18","100.26","101.40","99.00","4.25M","0.38%"
"07/01/2007","100.80","98.57","100.81","97.73","4.21M","1.84%"
"06/01/2007","98.98","98.99","99.20","97.21","4.82M","-0.65%"
"05/01/2007","99.63","101.07","101.09","99.26","3.70M","-1.69%"
"04/01/2007","101.34","101.18","102.25","99.19","3.34M","0.30%"
"03/01/2007","101.04","100.97","101.66","99.72","3.45M","0.05%"
"02/01/2007","100.99","99.11","101.43","98.40","4.51M","1.98%"
"01/01/2007","99.03","99.35","99.48","97.77","4.56M","0.23%"
"12/01/2006","98.80","101.15","101.65","98.42","4.96M","-2.30%"
"11/01/2006","101.13","100.10","101.24","99.40","3.99M","0.51%"
"10/01/2006","100.62","100.71","100.98","98.70","4.25M","-0.52%"
"09/01/2006","101.15","100.91","101.60","99.80","3.44M","-0.45%"
"08/01/2006","101.61","99.81","101.74","99.81","3.97M","1.09%"
