"Date","Price","Open","High","Low","Vol.","Change %"
"09/01/2010","82.66","82.58","82.83","81.72","12.82M","-0.28%"
"08/01/2010","82.89","81.61","82.98","81.51","19.12M","1.27%"
"07/01/2010","81.85","81.26","81.96","80.92","18.79M","0.58%"
"06/01/2010","81.38","80.25","81.45","80.00","19.43M","1.14%"
"05/01/2010","80.46","79.45","81.34","78.87","15.64M","0.83%"
"04/01/2010","79.80","78.98","79.85","78.40","11.84M","0.76%"
"03/01/2010","79.20","79.53","79.70","78.84","14.32M","-0.52%"
"02/01/2010","79.61","79.40","79.72","78.88","11.34M","0.01%"
"01/01/2010","79.60","78.60","79.66","78.54","14.95M","1.29%"
"12/01/2009","78.59","80.06","80.10","78.33","13.83M","-2.07%"
"11/01/2009","80.25","79.29","80.33","78.85","10.01M","0.98%"
"10/01/2009","79.47","79.40","79.81","78.81","16.68M","-0.04%"
"09/01/2009","79.50","78.66","79.55","78.51","11.06M","0.67%"
"08/01/2009","78.97","78.14","78.98","77.09","11.25M","0.68%"
"07/01/2009","78.44","77.22","78.48","77.14","10.96M","0.97%"
"06/01/2009","77.69","77.13","77.84","75.96","9.01M","0.27%"
"05/01/2009","77.48","76.78","77.88","76.53","8.47M","0.32%"
"04/01/2009","77.23","77.08","77.45","76.46","8.97M","0.10%"
"03/01/2009","77.15","76.29","78.00","75.72","11.49M","0.73%"
"02/01/2009","76.59","77.06","77.69","76.20","7.35M","-0.96%"
"01/01/2009","77.33","78.42","79.16","77.01","6.85M","-2.08%"
"12/01/2008","78.97","75.72","79.22","75.30","6.22M","4.33%"
"11/01/2008","75.69","73.16","75.94","73.00","5.41M","3.50%"
"10/01/2008","73.13","75.26","76.74","67.00","7.51M","-3.29%"
"09/01/2008","75.62","76.34","78.05","75.38","7.66M","-0.89%"
"08/01/2008","76.30","76.12","76.81","75.00","4.31M","0.43%"
"07/01/2008","75.97","75.84","76.64","75.03","4.08M","-0.37%"
"06/01/2008","76.25","76.02","76.89","75.02","3.18M","-0.33%"
